"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"166","1382921215114440","oBike Taiwan","你今天騎車了嗎？
大家猜一下哪個城市的人騎乘最多公里數呢？
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-26T04:36:37+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1532580553481838/?type=3","1382921215114440_1532580553481838",NA,96,52,1
"167","1382921215114440","oBike Taiwan","#FreeWeekend
全台狂歡迎暑假！免費騎行倒數中！
把握最後8小時，前15分鐘騎乘免費！
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-25T07:00:00+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1529411457132081/?type=3","1382921215114440_1529411457132081",NA,47,21,3
"168","1382921215114440","oBike Taiwan","萬里晴空
擇日不如撞日，走！今天騎車出遊！
　
#oBikeTW #共享單車
#騎單車靠邊編
#好喜歡藍天","2017-06-25T02:00:00+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1529487757124451/?type=3","1382921215114440_1529487757124451",NA,44,9,1
"169","1382921215114440","oBike Taiwan","剛騎完車回到家的邊編
外面怎麼可以這麼熱
　
#大家一起節能減碳愛地球 
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-24T06:00:00+0000","link","https://media.giphy.com/media/t9a6LmM1rTe3S/giphy.gif","1382921215114440_1529414807131746",NA,41,11,1
"170","1382921215114440","oBike Taiwan","登楞！！！
免費週末騎行登場～
2017年暑假即將登場，oBike邀你狂歡一夏！
即刻起至2017/06/25 23:59止。
前15分鐘騎乘免費啦！！！！！！
　
#oBikeTW #共享單車 #FreeWeekend
#騎單車靠邊編","2017-06-23T16:00:00+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1528234067249820/?type=3","1382921215114440_1528234067249820",NA,147,41,18
"171","1382921215114440","oBike Taiwan","預備～～～～～～
騎車下班啦！！！！
週末我來啦～～～
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-23T10:51:23+0000","link","https://media.giphy.com/media/3o7btQTZPS53TfQF6U/giphy.gif","1382921215114440_1529506943789199",NA,18,17,0
"172","1382921215114440","oBike Taiwan","#oBike小教室 #記錄每天的騎乘數據
你知道嗎？
騎乘oBike運動記錄軌跡超方便！你就不用額外添購設備！
可以輕鬆獲得每次騎乘的紀錄唷！
　
你今天消耗了多少卡路里呢？
　
#oBikeTW #共享單車
#騎單車靠邊編 #記得打開藍牙跟網路唷","2017-06-23T07:28:01+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1529381710468389/?type=3","1382921215114440_1529381710468389",NA,41,17,1
"173","1382921215114440","oBike Taiwan","oBike的小騎士們！
這個週末你們打算怎麼過呢？
是森林逍遙遊？
或是城市輕旅行？
還是來場不一樣的冒險之旅？
　
#oBikeTW #共享單車 #週末
#騎單車靠邊編","2017-06-23T04:30:00+0000","link","https://media.giphy.com/media/l1KVcdw6yo25vX5VC/giphy.gif","1382921215114440_1529247180481842",NA,18,10,2
"174","1382921215114440","oBike Taiwan","今天的天氣好到讓人心醉～
吹著海風，相揪來去高雄旗津騎鐵馬 <3
　
#oBikeTW #共享單車
#騎單車靠邊編 #高雄 #港都","2017-06-23T02:27:57+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1529197173820176/?type=3","1382921215114440_1529197173820176",NA,72,14,3
"175","1382921215114440","oBike Taiwan","大家不覺得今天的天氣很適合放假出遊嗎！！！！
邊編已經迫不及待，週末快來吧！
大家一起騎oBike出遊！
　
#oBikeTW #共享單車 #都蘭海岸線
#騎單車靠邊編","2017-06-22T04:21:46+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1528202077253019/?type=3","1382921215114440_1528202077253019",NA,62,25,2
